,Rankings,College Name,Area Type,Region,Ownership,Student-to-Faculty Ratio,Enrolled Full Time Total,Average GPA,Average SATVR,Average SATMT
136,150.0,Rhodes College,City: Large,Southeast,Private not-for-profit religious,10.0,543.0,3.9,665.0,660.0
137,150.0,Michigan Technological University,Town: Remote,Great Lakes,Public,13.0,1245.0,3.7,625.0,640.0
138,150.0,Drake University,City: Midsize,Plains,Private not-for-profit independent,10.0,749.0,3.7,630.0,620.0
139,153.0,Berea College,Town: Distant,Southeast,Private not-for-profit independent,10.0,438.0,3.5,555.0,566.5
140,155.0,St Olaf College,Town: Distant,Plains,Private not-for-profit religious,12.0,809.0,3.7,650.0,650.0
141,155.0,Butler University,City: Large,Great Lakes,Private not-for-profit independent,11.0,1326.0,3.9,625.0,625.0
142,157.0,Bradley University,City: Midsize,Great Lakes,Private not-for-profit independent,12.0,1089.0,3.8,595.0,595.0
143,159.0,Willamette University,City: Midsize,Far West,Private not-for-profit independent,11.0,389.0,3.8,,
144,159.0,Marquette University,City: Large,Great Lakes,Private not-for-profit religious,14.0,2162.0,3.6,620.0,615.0
145,159.0,Illinois Wesleyan University,City: Small,Great Lakes,Private not-for-profit independent,11.0,494.0,3.7,615.0,607.5
146,162.0,University Of Arizona,City: Large,Southwest,Public,15.0,6011.0,3.4,595.0,595.0
147,164.0,University Of Iowa,City: Small,Plains,Public,16.0,4726.0,3.6,610.0,615.0
148,164.0,Elon University,Suburb: Midsize,Southeast,Private not-for-profit independent,12.0,1698.0,4.0,625.0,615.0
149,166.0,Hampton University,City: Midsize,Southeast,Private not-for-profit independent,13.0,910.0,3.7,,
150,166.0,University Of Tulsa,City: Large,Southwest,Private not-for-profit religious,11.0,802.0,,650.0,645.0
151,166.0,Loyola University Chicago,City: Large,Great Lakes,Private not-for-profit religious,14.0,2770.0,3.7,615.0,600.0
152,170.0,Susquehanna University,Town: Distant,Mid East,Private not-for-profit religious,12.0,619.0,3.7,,
153,170.0,University Of Puget Sound,City: Midsize,Far West,Private not-for-profit independent,11.0,653.0,3.5,,
154,172.0,Kalamazoo College,City: Small,Great Lakes,Private not-for-profit independent,13.0,408.0,3.8,,
155,172.0,Stonehill College,Suburb: Large,New England,Private not-for-profit religious,12.0,650.0,3.4,,
156,174.0,Ursinus College,Suburb: Large,Mid East,Private not-for-profit independent,10.0,378.0,3.3,620.0,610.0
157,174.0,Loyola University Maryland,City: Large,Mid East,Private not-for-profit religious,12.0,1068.0,3.4,,
158,178.0,University Of San Diego,City: Large,Far West,Private not-for-profit religious,14.0,1308.0,3.9,635.0,640.0
159,180.0,Temple University,City: Large,Mid East,Public,14.0,5009.0,3.5,,
160,180.0,Missouri University Of Science And Technology,Town: Remote,Plains,Public,18.0,1309.0,3.6,635.0,649.0
161,182.0,University Of Dayton,City: Midsize,Great Lakes,Private not-for-profit religious,14.0,2198.0,3.8,605.0,605.0
162,182.0,Lewis & Clark College,City: Large,Far West,Private not-for-profit independent,12.0,562.0,,,
163,182.0,Albion College,Town: Fringe,Great Lakes,Private not-for-profit religious,11.0,428.0,3.5,570.0,555.0
164,185.0,Whitman College,City: Small,Far West,Private not-for-profit independent,9.0,426.0,3.8,660.0,680.0
165,186.0,Baylor University,City: Midsize,Southwest,Private not-for-profit religious,14.0,3364.0,3.7,640.0,640.0
166,186.0,Muhlenberg College,City: Midsize,Mid East,Private not-for-profit religious,10.0,548.0,3.3,635.0,630.0
167,186.0,St Lawrence University,Town: Remote,Mid East,Private not-for-profit independent,11.0,640.0,3.6,635.0,637.5
168,186.0,University Of Colorado Boulder,City: Midsize,Rocky Mountains,Public,18.0,6601.0,3.7,625.0,630.0
169,190.0,Virginia Military Institute,Town: Distant,Southeast,Public,10.0,475.0,3.7,610.0,595.0
170,192.0,Bryant University,Suburb: Large,New England,Private not-for-profit independent,13.0,866.0,3.4,,
171,194.0,Molloy College,Suburb: Large,Mid East,Private not-for-profit religious,10.0,592.0,3.0,575.0,570.0
172,194.0,Ithaca College,Suburb: Small,Mid East,Private not-for-profit independent,10.0,1666.0,3.6,,
173,196.0,Texas Christian University,City: Large,Southwest,Private not-for-profit religious,13.0,2187.0,3.7,620.0,626.5
174,197.0,Mercer University,City: Midsize,Southeast,Private not-for-profit independent,13.0,972.0,3.9,635.0,625.0
175,197.0,Siena College,Suburb: Large,Mid East,Private not-for-profit religious,12.0,745.0,3.5,,
176,197.0,Fordham University,City: Large,Mid East,Private not-for-profit religious,15.0,2285.0,3.6,660.0,680.0
177,200.0,Ohio Wesleyan University,Suburb: Large,Great Lakes,Private not-for-profit religious,10.0,453.0,3.4,,
178,200.0,Otis College Of Art And Design,City: Large,Far West,Private not-for-profit independent,8.0,276.0,3.2,590.0,570.0
179,202.0,University Of San Francisco,City: Large,Far West,Private not-for-profit religious,13.0,1541.0,3.5,615.0,615.0
180,202.0,Knox College,Town: Distant,Great Lakes,Private not-for-profit independent,11.0,345.0,3.6,,
181,204.0,Fairfield University,Suburb: Large,New England,Private not-for-profit religious,12.0,1091.0,3.6,,
182,204.0,Earlham College,Town: Distant,Great Lakes,Private not-for-profit religious,10.0,271.0,3.7,630.0,640.0
183,206.0,Kettering University,City: Small,Great Lakes,Private not-for-profit independent,15.0,363.0,3.7,630.0,650.0
184,207.0,Austin College,City: Small,Southwest,Private not-for-profit religious,13.0,435.0,3.6,620.0,610.0
185,207.0,Clemson University,Suburb: Large,Southeast,Public,16.0,3790.0,,650.0,660.0
186,207.0,Washington College,Town: Distant,Mid East,Private not-for-profit independent,10.0,310.0,3.7,,
187,210.0,College Of Saint Benedict,Suburb: Midsize,Plains,Private not-for-profit religious,12.0,437.0,3.7,560.0,540.0
